chapterno,score,words
49,5.734026845637581,"[('congratulate', 8.0), ('congratulations', 8.0), ('joy', 8.16), ('happy', 8.3), ('happiness', 8.44)]"
50,5.94950980392156,"[('pleasure', 8.08), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44), ('happiest', 8.6)]"
51,5.98,"[('fun', 7.96), ('free', 7.96), ('smiled', 8.08), ('joy', 8.16), ('happiest', 8.6)]"
52,5.680110497237571,"[('friends', 7.92), ('pleasure', 8.08), ('excellent', 8.18), ('happy', 8.3), ('love', 8.42)]"
53,5.315860215053763,"[('killed', 1.56), ('suffer', 2.08), ('sufferer', 2.08), ('painful', 2.12), ('hurt', 2.18)]"
54,5.923245614035086,"[('friends', 7.92), ('pleasure', 8.08), ('laughing', 8.2), ('happy', 8.3), ('love', 8.42)]"
55,6.063793103448277,"[('smiled', 8.08), ('excellent', 8.18), ('happy', 8.3), ('happiness', 8.44), ('happiest', 8.6)]"
56,5.308162162162163,"[('cried', 2.2), ('angry', 2.32), ('ill', 2.42), ('ashamed', 2.59), ('selfish', 2.6)]"
57,6.06576923076923,"[('great', 7.88), ('congratulate', 8.0), ('congratulations', 8.0), ('laugh', 8.22), ('happy', 8.3)]"
58,5.095102040816326,"[('tortured', 1.82), ('abusing', 1.83), ('destroyed', 2.04), ('painful', 2.12), ('hated', 2.14)]"
59,5.584708520179372,"[('violent', 2.06), ('pain', 2.1), ('hated', 2.14), ('cried', 2.2), ('fear', 2.32)]"
