Dwalin,1
,
Fili,1
,
Pour,1
,
Golfimbul,1
,
Mutton,1
,
Hush,1
,
Quicker,1
,
Ssss,1
,
Goblins,1
,
Lili,1
,
Bill,2
,
Moon,2
,
’m,3
,
Goblin,3
,
Balin,5
,
Tom,9
,
Gollum,20
,
William,28
,
Kili,38
,
Gandalf,186
,
Bilbo,1
