chapterno,score,words
49,5.142839506172841,"[('cruel', 1.84), ('illness', 2.0), ('crying', 2.04), ('suffer', 2.08), ('suffering', 2.22)]"
50,5.137311827956991,"[('impoverishing', 1.98), ('rejection', 2.02), ('painful', 2.12), ('fraud', 2.3), ('anger', 2.3)]"
51,6.119183673469387,"[('pleased', 7.4), ('fond', 7.53), ('brilliant', 7.68), ('great', 7.88), ('love', 8.42)]"
52,5.418870967741935,"[('great', 7.88), ('rich', 7.98), ('win', 8.12), ('exceptional', 8.18), ('happiness', 8.44)]"
53,5.022499999999999,"[('funeral', 2.1), ('cried', 2.2), ('sad', 2.38), ('lying', 2.58), ('nasty', 2.62)]"
54,5.273378378378378,"[('torture', 1.58), ('unhappy', 2.12), ('angry', 2.32), ('threatening', 2.36), ('upset', 2.56)]"
55,4.760999999999997,"[('torturing', 1.58), ('torture', 1.58), ('slavish', 2.06), ('arrest', 2.42), ('ill', 2.42)]"
56,4.767843137254902,"[('terror', 1.76), ('criminal', 1.98), ('worried', 2.42), ('abandoned', 2.54), ('ruined', 2.54)]"
57,5.429438202247194,"[('friends', 7.92), ('winning', 8.04), ('pleasure', 8.08), ('smiled', 8.08), ('smile', 8.1)]"
58,4.6098701298701314,"[('failed', 1.84), ('fail', 1.96), ('dead', 2.0), ('cried', 2.2), ('poor', 2.32)]"
59,5.028857142857146,"[('miserable', 2.54), ('rage', 2.56), ('grave', 2.56), ('worse', 2.7), ('waste', 2.7)]"
60,5.860909090909092,"[('friend', 7.66), ('mother', 7.68), ('kissed', 7.84), ('friends', 7.92), ('kissing', 7.94)]"
61,4.86616666666667,"[('kill', 1.56), ('terror', 1.76), ('worst', 2.1), ('agony', 2.16), ('hurt', 2.18)]"
62,4.800508474576271,"[('killed', 1.56), ('cruel', 1.84), ('cried', 2.2), ('accident', 2.32), ('hate', 2.34)]"
63,5.894166666666668,"[('flowered', 7.88), ('great', 7.88), ('friends', 7.92), ('exceptionally', 8.18), ('love', 8.42)]"
64,5.987142857142856,"[('friendly', 7.66), ('mother', 7.68), ('delight', 7.78), ('funny', 7.92), ('friends', 7.92)]"
65,5.8670270270270315,"[('kissing', 7.94), ('loved', 7.96), ('music', 8.02), ('smile', 8.1), ('love', 8.42)]"
66,5.788842105263154,"[('friends', 7.92), ('friendship', 7.96), ('pleasure', 8.08), ('smiled', 8.08), ('love', 8.42)]"
67,5.709750000000001,"[('music', 8.02), ('healthy', 8.02), ('smile', 8.1), ('joy', 8.16), ('excellent', 8.18)]"
68,5.416626506024096,"[('peace', 7.86), ('jokes', 7.98), ('healthy', 8.02), ('laughed', 8.26), ('laughter', 8.5)]"
69,6.053958333333335,"[('affection', 7.53), ('enjoy', 7.66), ('friendliness', 7.66), ('holiday', 7.68), ('pleasure', 8.08)]"
70,6.050392156862746,"[('brilliant', 7.68), ('beauty', 7.76), ('delighted', 7.78), ('celebrated', 7.8), ('splendid', 7.86)]"
71,4.459895833333337,"[('murder', 1.48), ('criminal', 1.98), ('hurt', 2.18), ('stolen', 2.5), ('broke', 2.54)]"
72,5.0327956989247316,"[('angry', 2.32), ('poor', 2.32), ('lying', 2.58), ('afraid', 2.66), ('lost', 2.76)]"
73,5.328536585365856,"[('died', 1.56), ('cried', 2.2), ('broke', 2.54), ('spoil', 2.68), ('trouble', 2.78)]"
74,5.516862745098041,"[('extraordinarily', 7.5), ('splendid', 7.86), ('friends', 7.92), ('pleasure', 8.08), ('smiled', 8.08)]"
75,5.568139534883722,"[('peace', 7.86), ('friends', 7.92), ('happy', 8.3), ('love', 8.42), ('happiness', 8.44)]"
76,5.878333333333332,"[('pleasure', 8.08), ('smile', 8.1), ('laughed', 8.26), ('happy', 8.3), ('laughter', 8.5)]"
77,6.053859649122808,"[('family', 7.72), ('delighted', 7.78), ('peace', 7.86), ('smiled', 8.08), ('laughing', 8.2)]"
78,5.253465346534655,"[('died', 1.56), ('dead', 2.0), ('suffer', 2.08), ('unhappy', 2.12), ('anger', 2.3)]"
79,5.053571428571429,"[('fearing', 2.32), ('fear', 2.32), ('arguments', 3.04), ('wrong', 3.14), ('convict', 3.2)]"
80,5.66775,"[('sky', 7.76), ('healthy', 8.02), ('joy', 8.16), ('laughing', 8.2), ('love', 8.42)]"
81,4.218758620689654,"[('killed', 1.56), ('murdering', 1.8), ('tortured', 1.82), ('cry', 1.84), ('cruel', 1.84)]"
82,5.403478260869567,"[('gold', 7.56), ('family', 7.72), ('celebrated', 7.8), ('smiled', 8.08), ('smile', 8.1)]"
