Rank,Word,Happiness_Score,Standard_Deviation
9626,delayed,3.24,1.19
9504,delays,3.44,1.15
,delectable,7.22,1.79
9367,delete,3.64,1.48
9562,deleted,3.36,1.48
2903,delicate,5.94,1.53
,delicately,5.94,1.53
44,delicious,7.92,1.26
,deliciously,7.92,1.26
,deliciousness,7.92,1.26
,elated,7.78,1.42
,euphoric,7.78,1.42
,euphoria,7.78,1.42
77,delight,7.78,1.42
,delighted,7.78,1.42
,delighting,7.78,1.42
,delights,7.78,1.42
1897,deliver,6.24,1.02
1446,delivered,6.42,1.2
2548,delivery,6.02,1.44
2685,dell,5.98,1.41
5533,della,5.35,1.18
5457,delta,5.36,1.05
7819,dem,4.84,1.2
8989,demand,4.14,1.41
9026,demanded,4.1,1.57
9322,demanding,3.7,1.62
,demandingly,3.7,1.62
9132,demands,3.98,1.32
7894,demi,4.82,0.87
9859,demise,2.82,1.73
4881,demo,5.48,1.31
1591,democracy,6.36,1.72
6316,democrat,5.18,2.02
1689,democratic,6.32,1.66
4780,democrats,5.5,1.99
9809,demon,2.92,1.96
9929,demons,2.64,2.07
4685,demonstrate,5.52,1.18
3802,demonstrated,5.7,1.15
3111,demonstration,5.88,1.22
6124,dems,5.22,1.58
5091,den,5.44,1.34
9415,denial,3.56,1.64
9984,denied,2.54,1.2
,denies,3.44,1.39
7247,denk,4.98,1.12
6841,denn,5.06,1.31
5185,dennis,5.42,0.95
4445,density,5.57,1.2
9563,dentist,3.36,1.69
7676,dentro,4.88,0.98
5559,denver,5.34,1.49
9505,deny,3.44,1.39
9295,denying,3.74,1.47
5940,department,5.26,1.1
4442,departments,5.57,1.4
6771,department's,5.08,1.1
8081,departure,4.76,1.52
6025,depend,5.24,1.39
8336,dependence,4.67,1.96
8588,dependent,4.52,1.61
8149,depending,4.74,1.55
8202,depends,4.72,0.88
8559,depois,4.54,1.34
1592,deposit,6.36,1.48
1043,deposits,6.64,1.41
6402,depot,5.16,0.68
10075,depressed,2.18,1.79
10133,depressing,1.9,1.22
,depressingly,1.9,1.22
10125,depression,1.98,1.56
4565,depth,5.54,1.41
6094,depths,5.22,1.61
8303,deputy,4.68,1.35
7677,der,4.88,0.9
5186,derived,5.42,1.21
8028,des,4.78,1.3
3987,describe,5.66,1.08
4371,described,5.58,1.14
3546,describes,5.76,1.08
4194,describing,5.62,1.32
3434,description,5.8,1.14
3224,descriptions,5.84,1.15
7820,desde,4.84,0.68
8726,desert,4.4,1.83
,deserted,4.4,1.83
,deserts,4.4,1.83
1486,deserve,6.4,1.36
2368,deserved,6.08,1.5
3068,deserves,5.88,1.89
,deserving,6.4,1.36
,deservingly,6.4,1.36
1690,design,6.32,1.13
4092,designated,5.64,1.37
1747,designed,6.3,0.95
1691,designer,6.32,1.63
1542,designers,6.38,1.48
1966,designs,6.22,1.66
506,desirable,7.08,1.66
978,desire,6.68,1.36
1109,desired,6.6,1.56
910,desires,6.73,1.47
,desiring,6.68,1.36
5941,desk,5.26,0.99
,desks,5.26,0.99
3225,desktop,5.84,1.5
,desktops,5.84,1.5
9860,despair,2.82,2.01
,despaired,2.82,2.01
,despairing,2.82,2.01
,despairingly,2.82,2.01
9698,desperate,3.12,1.62
,desperately,3.12,1.62
9900,desperation,2.7,1.91
9436,despise,3.54,2.03
,despised,3.54,2.03
,despises,3.54,2.03
,despising,3.54,2.03
,despisingly,3.54,2.03
8628,despite,4.48,1.34
325,dessert,7.28,1.77
1487,destination,6.4,1.43
,destinations,6.4,1.43
2765,destined,5.96,1.46
,destinies,6.12,1.45
6095,destino,5.22,1.01
2238,destiny,6.12,1.45
,destitute,1.98,1.12
,destitution,1.98,1.12
9993,destroy,2.52,1.81
10113,destroyed,2.04,1.34
,destroying,2.52,1.81
,destroys,2.04,1.34
10060,destruction,2.26,1.51
7958,det,4.8,0.88
3300,detail,5.82,1.14
3716,detailed,5.72,1.5
3637,details,5.74,1.23
,detect,5.26,1.35
5942,detected,5.26,1.35
,detecting,5.26,1.35
7947,detection,4.81,1.28
5374,detective,5.38,1.54
,detects,5.26,1.35
587,determination,7,1.41
3375,determine,5.8,1.34
1300,determined,6.5,1.53
3869,determining,5.69,1.34
,detest,3.54,2.03
,detestable,3.54,2.03
,detested,3.54,2.03
,detesting,3.54,2.03
,detests,3.54,2.03
1844,develop,6.26,1.05
1593,developed,6.36,1.48
3803,developer,5.7,1.43
4988,developers,5.46,1.72
2549,developing,6.02,1.1
1543,development,6.38,1.5
3988,developmental,5.66,1.29
1898,developments,6.24,1.1
4590,device,5.54,0.95
2924,devices,5.92,1.18
10063,devil,2.24,1.55
9843,devils,2.84,1.71
,devote,7.16,1.36
436,devoted,7.16,1.36
,devotes,7.16,1.36
,devoting,7.16,1.36
1692,devotion,6.32,2.09
1644,dew,6.34,1.41
6125,dexter,5.22,1.66
7959,dey,4.8,0.76
8029,dha,4.78,1.17
7821,di,4.84,1.25
6209,dia,5.2,1.07
9133,diagnosis,3.98,1.89
7055,diagnostic,5.02,1.71
2925,diagram,5.92,1.21
4476,dial,5.56,1.33
2686,dialogue,5.98,1.24
4989,diameter,5.46,1.17
169,diamond,7.52,1.72
104,diamonds,7.68,1.48
3547,diana,5.76,1.39
6403,diane,5.16,0.77
2991,diaries,5.9,1.39
2842,diary,5.94,1.15
5943,dias,5.26,1.05
4195,dice,5.62,1.29
8341,dicen,4.67,1.14
8739,dich,4.4,1.11
8420,dick,4.62,1.78
2144,dictionary,6.16,1.57
4372,did,5.58,1.13
6404,diddy,5.16,1.35
7960,didn,4.8,1.25
9117,didnt,4,1.25
9116,didn't,4,1.29
10154,die,1.74,1.19
10160,died,1.56,1.2
6863,diego,5.06,0.82
10097,dies,2.08,1.56
8421,diet,4.62,1.72
7741,diff,4.86,0.88
8496,differ,4.58,1.34
8030,difference,4.78,1.18
8455,differences,4.6,1.4
5375,different,5.38,1.24
6675,differential,5.1,1.36
6015,differentiation,5.24,1.11
9657,difficult,3.18,0.9
9722,difficulties,3.08,1.28
9545,difficulty,3.38,1.23
6864,diffusion,5.06,1.36
7602,dig,4.9,1.22
3989,digest,5.66,1.49
7678,digg,4.88,1.44
7151,diggin,5,1.67
5944,digging,5.26,1.07
2244,digital,6.12,1.42
668,dignity,6.92,1.18
6587,digo,5.12,1.08
,diligence,6.8,1.51
,diligency,6.8,1.51
,diligent,6.8,1.51
,diligently,6.8,1.51
9183,dim,3.9,1.34
2017,dime,6.2,1.36
3435,dimension,5.8,1.26
3613,dimensional,5.76,1.22
3277,dimensions,5.84,1.3
2423,dimes,6.06,1.22
8819,din,4.31,1.33
952,dine,6.7,1.4
5560,ding,5.34,1.6
1333,dining,6.48,1.75
7420,dinkins,4.94,1
238,dinner,7.4,1.14
6405,dios,5.16,1.48
7421,dip,4.94,1.28
1181,diploma,6.56,1.74
3638,diplomacy,5.74,1.7
5844,diplomat,5.28,1.49
3301,diplomatic,5.82,1.64
6026,diplomats,5.24,1.86
8486,dir,4.58,0.94
9427,dire,3.55,1.99
3896,direct,5.68,1.33
4990,directed,5.46,1.07
4591,direction,5.54,0.81
5945,directions,5.26,1.27
4477,directly,5.56,1.03
3376,director,5.8,1.48
2926,directors,5.92,1.38
9323,dirt,3.7,1.53
9649,dirty,3.2,1.51
8957,dis,4.18,1.35
9861,disabled,2.82,1.19
9335,disagree,3.68,1.25
,disagreeable,3.68,1.25
,disagreed,3.68,1.25
,disagreeing,3.68,1.25
,disagrees,3.68,1.25
9359,disappear,3.65,1.63
9514,disappeared,3.44,1.77
,disappearing,3.65,1.63
,disappoint,2.26,1.03
10061,disappointed,2.26,1.03
,disappointing,2.26,1.03
,disappoints,2.26,1.03
10130,disaster,1.96,1.43
3804,disc,5.7,1.31
9077,discharge,4.04,1.78
5711,discipline,5.31,1.81
,disciplined,5.31,1.81
,disciplines,5.31,1.81
,disciplining,5.31,1.81
7524,disclosed,4.92,1.03
7056,disclosure,5.02,0.96
1792,disco,6.28,1.71
9546,discontinued,3.38,1.46
407,discount,7.2,1.29
7577,discourse,4.92,1.38
754,discover,6.84,1.4
588,discovered,7,1.25
1217,discovery,6.54,1.42
,discriminated,2.82,1.49
,discriminates,2.82,1.49
,discriminating,2.82,1.49
9862,discrimination,2.82,1.49
,discriminatively,2.82,1.49
2766,discuss,5.96,1.23
4478,discussed,5.56,1.46
3548,discussing,5.76,1.72
3805,discussion,5.7,1.04
3990,discussions,5.66,1.59
10120,disease,2,1.31
10138,diseases,1.88,0.94
,disfavor,2.88,1.12
,disfavored,2.88,1.12
,disfavoring,2.88,1.12
,disfavors,2.88,1.12
9896,disgrace,2.72,1.41
8482,disguise,4.59,1.38
,disgust,2.58,1.47
,disgusted,2.58,1.47
9960,disgusting,2.58,1.47
,disgusts,2.58,1.47
2245,dish,6.12,1.41
5458,dishes,5.36,1.82
9827,dislike,2.88,1.12
,disliked,2.88,1.12
,dislikes,2.88,1.12
,disliking,2.88,1.12
9683,dismissed,3.14,1.11
1071,disney,6.62,1.66
9684,disorder,3.14,1.4
,disordered,3.14,1.4
9670,disorders,3.16,1.43
4196,display,5.62,0.92
3044,displayed,5.9,1.1
,displease,3.1,1.39
,displeased,3.1,1.39
,displeases,3.1,1.39
,displeasing,3.1,1.39
,dispose,4.5,1.73
8609,disposed,4.5,1.73
,disposes,4.5,1.73
,disposing,4.5,1.73
5712,disposition,5.31,1.39
9437,dispute,3.54,1.73
9821,disrespect,2.9,1.78
,disrespectful,2.9,1.78
,disrespecting,2.9,1.78
,disrespects,2.9,1.78
9516,diss,3.43,1.88
8610,distance,4.5,1.31
10173,distancing,3.16,1.28
9092,distant,4.02,1.53
2424,distinct,6.06,1.24
1544,distinction,6.38,1.24
1899,distinctive,6.24,1.3
,distinctiveness,6.24,1.3
3069,distinguish,5.88,1.41
,distinguishability,5.72,1.16
3717,distinguishable,5.72,1.16
1594,distinguished,6.36,1.43
,distinguishes,5.88,1.41
,distinguishing,5.88,1.41
9901,distress,2.7,1.42
4991,distributed,5.46,1.11
5285,distribution,5.4,0.97
6487,district,5.14,1.01
6772,districts,5.08,1.16
,disturb,3.41,1.59
9533,disturbed,3.41,1.59
,disturbing,3.41,1.59
,disturbingly,3.41,1.59
,disturbs,3.41,1.59
8448,dit,4.6,1.28
8788,ditch,4.34,1.55
4093,dive,5.64,1.38
3141,diverse,5.86,1.54
,diverseness,5.86,1.54
3349,diversity,5.82,1.74
8843,divide,4.29,1.46
8764,divided,4.36,1.27
2992,dividend,5.9,1.9
2199,dividends,6.14,1.55
340,divine,7.26,1.41
8765,division,4.36,1.29
7742,divisions,4.86,1.48
10076,divorce,2.18,1.32
,divorced,2.18,1.32
,divorcee,2.18,1.32
,divorcees,2.18,1.32
,divorces,2.18,1.32
,divorcing,2.18,1.32
4557,dixie,5.55,1.29
9169,dizzy,3.94,1.72
3142,dj,5.86,1.5
7422,dm,4.94,0.74
6742,dmc,5.08,1.53
7487,dmx,4.94,1.57
5286,dna,5.4,1.36
8934,dnt,4.2,1.34
3549,do,5.76,1.06
6960,doc,5.04,1.48
7895,doch,4.82,0.8
5561,doctor,5.34,1.62
4592,doctors,5.54,1.66
5376,doctrine,5.38,1.7
5287,document,5.4,1.23
1488,documentary,6.4,1.18
7057,documents,5.02,1.32
2993,doe,5.9,1.64
8304,doen,4.68,0.98
6126,does,5.22,1.25
8229,doesn,4.71,1.22
9184,doesnt,3.9,1.39
9380,doesn't,3.62,1.1
6380,doet,5.16,1.05
953,dog,6.7,1.84
6280,dogg,5.19,1.7
940,doggy,6.71,2.18
827,dogs,6.78,1.82
6027,doin,5.24,1.38
4781,doing,5.5,1.2
7525,dole,4.92,0.97
2550,doll,6.02,1.94
571,dollar,7.02,1.52
302,dollars,7.3,1.46
3045,dolly,5.9,1.34
8082,dolor,4.76,1.92
7526,dom,4.92,0.99
4593,domain,5.54,1.11
5053,dome,5.46,1.32
4992,domestic,5.46,1.66
,domestically,5.46,1.66
,dominance,4.04,1.52
6281,dominant,5.19,2
9078,dominated,4.04,1.52
,dominates,4.04,1.52
,dominating,4.04,1.52
7248,don,4.98,1.25
4882,donald,5.48,1.25
884,donate,6.74,1.34
701,donated,6.88,1.24
1182,donations,6.56,1.31
6210,donde,5.2,1.62
1218,done,6.54,1.43
8611,dong,4.5,1.39
6028,donna,5.24,1.35
9325,dont,3.7,1.07
9324,don't,3.7,1.09
7497,doo,4.94,1.12
9697,doom,3.12,1.92
,doomed,3.12,1.92
,dooming,3.12,1.92
,dooms,3.12,1.92
5377,door,5.38,1.21
5092,doors,5.44,1.07
4054,doorway,5.65,1.15
9462,dope,3.5,1.71
5946,doris,5.26,1.12
5947,dormir,5.26,1.24
5641,dorothy,5.32,1.3
6406,dos,5.16,1.33
8521,dose,4.56,1.5
5845,dot,5.28,1.18
3377,double,5.8,1.37
9671,doubt,3.16,1.27
,doubted,3.16,1.27
,doubting,3.16,1.27
2927,doubtless,5.92,1.54
,doubtlessly,5.92,1.54
9601,doubts,3.3,1.43
6773,doug,5.08,0.9
2007,dough,6.2,1.46
6029,douglas,5.24,1.19
545,dove,7.04,1.44
8150,dow,4.74,1.17
9348,down,3.66,1.56
2551,download,6.02,1.35
1748,downloaded,6.3,1.46
1967,downloading,6.22,1.36
2145,downloads,6.16,1.13
9118,downs,4,1.71
6407,downstairs,5.16,1.3
3470,downtown,5.78,1.52
7058,doy,5.02,1.1
4993,dozen,5.46,1.11
3806,dozens,5.7,1.28
6676,dr,5.1,1.37
7059,draft,5.02,1.41
8990,drag,4.14,1.43
3639,dragon,5.74,1.85
9001,drain,4.12,1.28
5749,drake,5.3,1.25
6127,drama,5.22,2.24
5948,dramatic,5.26,1.91
5562,drank,5.34,1.47
1401,draw,6.44,1.4
5064,drawers,5.45,1.32
1147,drawing,6.58,1.11
1489,drawings,6.4,1.51
3991,drawn,5.66,1.24
2079,draws,6.18,1.32
7650,dre,4.9,1.29
9650,dread,3.2,1.95
,dreaded,3.2,1.95
,dreadful,2.84,1.81
,dreading,3.2,1.95
,dreads,3.2,1.95
491,dream,7.1,1.96
721,dreamed,6.87,1.39
804,dreamer,6.8,1.5
341,dreaming,7.26,1.26
212,dreams,7.44,1.42
1110,dress,6.6,1.18
1595,dressed,6.36,1.12
1072,dresses,6.62,1.71
3992,drew,5.66,1.22
7340,dried,4.96,1.67
8132,drift,4.76,1.48
7679,drifting,4.88,1.57
1596,drink,6.36,1.77
4055,drinkin,5.65,1.93
2200,drinking,6.14,1.71
885,drinks,6.74,1.43
8346,drip,4.66,1.39
7488,dripping,4.94,1.75
2369,drive,6.08,1.52
2767,driven,5.96,1.28
3807,driver,5.7,0.89
6030,drivers,5.24,1.15
3471,drives,5.78,1.4
3070,drivin,5.88,1.42
2080,driving,6.18,1.65
7937,dro,4.82,1.29
8823,drop,4.3,1.2
9198,dropped,3.88,1
8789,droppin,4.34,1.36
9097,dropping,4.02,1.1
7341,drops,4.96,1.55
5949,drove,5.26,1.12
9822,drown,2.9,2.09
10081,drowned,2.16,1.6
10019,drowning,2.44,1.59
,drowns,2.16,1.6
9651,drug,3.2,2.07
9922,drugs,2.66,1.64
2687,drum,5.98,1.38
1365,drums,6.47,1.58
9199,drunk,3.88,2.25
,drunkard,3.88,2.25
9447,drunken,3.53,2
,drunkenness,3.53,2
,drunks,3.88,2.25
8384,dry,4.64,1.26
6408,ds,5.16,1.17
7680,du,4.88,0.92
5350,dub,5.39,1.26
4594,dubai,5.54,1.28
2081,duck,6.18,1.4
3378,dude,5.8,1.7
4197,dudes,5.62,1.46
8915,due,4.22,1.5
7862,duele,4.84,1.03
8904,dues,4.22,1.36
7342,dug,4.96,1.26
8766,duh,4.36,1.24
7603,dukakis,4.9,1.13
6588,duke,5.12,1.39
9627,dull,3.24,1.22
,duller,3.09,1.22
,dullest,2.94,1.22
,dulling,3.24,1.22
,dullness,3.24,1.22
8704,dum,4.42,1.53
9731,dumb,3.06,0.96
,dumbness,3.06,0.96
9844,dump,2.84,1.33
8305,dun,4.68,1.39
8629,dunno,4.48,1.3
5187,duration,5.42,1.25
8518,durch,4.57,1.47
6211,during,5.2,0.99
6289,duro,5.18,1.01
7743,dus,4.86,1.12
3870,dusk,5.69,1.63
9389,dust,3.6,1.16
9178,dusty,3.92,1.7
4198,dutch,5.62,1.18
7896,duties,4.82,1.69
,dutiful,4.82,1.69
,dutifully,4.82,1.69
,dutifulness,4.82,1.69
8249,duty,4.7,1.27
1021,dvd,6.66,1.41
1900,dvds,6.24,1.45
3718,dvr,5.72,1.37
4962,dwell,5.47,1.66
,dwelled,5.47,1.66
,dwelling,5.47,1.66
,dwells,5.47,1.66
10093,dying,2.1,1.47
,dyingly,2.1,1.47
684,dynamic,6.9,1.31
2057,dynamics,6.19,1.32
6929,dynamite,5.04,2.23
8203,e,4.72,0.9
5288,each,5.4,0.99
1219,eager,6.54,1.31
,eagerly,6.54,1.31
,eagerness,6.54,1.31
2082,eagle,6.18,1.88
2146,eagles,6.16,1.45
4595,ear,5.54,1.23
5093,earl,5.44,1.09
5289,earlier,5.4,1.23
3808,earliest,5.7,1.54
3993,early,5.66,1.24
183,earn,7.5,1.34
512,earned,7.08,1.18
657,earning,6.94,1.53
170,earnings,7.52,1.42
658,earns,6.94,1.1
,earring,6.3,1.57
1749,earrings,6.3,1.57
3719,ears,5.72,1.25
1402,earth,6.44,1.82
10134,earthquake,1.9,1.2
,earthquakes,1.9,1.2
,earths,6.44,1.82
1258,ease,6.52,1.59
158,easier,7.56,1.15
572,easily,7.02,1.63
,easiness,6.76,1.6
3302,east,5.82,1.29
702,easter,6.88,1.7
3550,eastern,5.76,1.42
6187,eastside,5.2,1.4
856,easy,6.76,1.6
549,eat,7.04,1.46
1301,eaten,6.5,1.22
3303,eatin,5.82,1.57
2246,eat-in,6.12,1.15
303,eating,7.3,1.78
1403,eats,6.44,1.64
3472,ebay,5.78,1.78
2688,ebook,5.98,1.44
2843,echo,5.94,1.24
,echoed,5.94,1.24
2904,echoes,5.94,1.31
,echoing,5.94,1.24
7744,echt,4.86,1.18
5459,economic,5.36,1.69
8083,economics,4.76,1.42
6212,economist,5.2,1.51
7527,economists,4.92,1.48
8744,economy,4.38,1.66
400,ecstasy,7.2,1.73
,ecstatic,7.2,1.73
6409,ed,5.16,1.2
6488,eddie,5.14,1.41
1286,eden,6.51,1.56
7249,edge,4.98,1.25
6639,edges,5.1,1.53
5460,edit,5.36,1.17
6031,edited,5.24,1.14
6961,edith,5.04,1.18
5750,editing,5.3,1.23
4686,edition,5.52,1.13
4782,editions,5.5,1.3
4094,editor,5.64,1.44
5563,editorial,5.34,1.36
5642,editorials,5.32,1.1
5094,editors,5.44,1.18
7961,eds,4.8,1.11
,educate,7.29,1.31
318,educated,7.29,1.31
,educates,7.29,1.31
703,education,6.88,1.61
1490,educational,6.4,1.48
7251,een,4.98,1.13
8803,eff,4.32,1.57
6410,effect,5.16,1.09
857,effective,6.76,1.29
1404,effectively,6.44,1.61
828,effectiveness,6.78,1.27
4783,effects,5.5,1.47
,efficacy,6.59,1.37
1134,efficiency,6.59,1.37
820,efficient,6.8,1.51
8745,effing,4.38,1.4
3143,effort,5.86,1.63
4278,efforts,5.6,1.46
7723,eg,4.88,1.33
2689,egg,5.98,1.44
2552,eggs,6.02,1.99
9042,ego,4.08,1.55
,egoistic,2.6,1.05
,egotistical,2.6,1.05
,egotistically,2.6,1.05
1845,egypt,6.26,1.16
3473,egyptian,5.78,1.56
8560,eh,4.54,1.2
,ehausting,3.14,1.71
8230,ei,4.71,0.89
5751,eight,5.3,1.28
1902,eighteen,6.24,1.46
2613,eighteenth,6,1.41
6865,eighth,5.06,1.11
5461,eileen,5.36,1.21
7252,ein,4.98,0.8
7253,eine,4.98,0.98
8306,einen,4.68,1.11
6677,either,5.1,0.71
7962,el,4.8,1.12
7605,ela,4.9,1.07
4963,elaborate,5.47,1.66
6032,elaine,5.24,1.29
1320,elder,6.49,1.31
7681,elderly,4.88,1.72
7423,ele,4.94,1.06
6589,eleanor,5.12,0.98
2301,elected,6.1,1.42
6317,election,5.18,1.35
8630,elections,4.48,1.53
3994,electric,5.66,1.55
4596,electrical,5.54,1.11
2302,electricity,6.1,1.62
4479,electron,5.56,1.15
1491,electronic,6.4,1.32
1334,electronics,6.48,1.2
626,elegant,6.96,1.93
3226,element,5.84,1.04
3809,elementary,5.7,1.36
4883,elements,5.48,1.53
821,elevated,6.8,1.19
2844,elevation,5.94,1.52
5752,elevator,5.3,1.39
4279,eleven,5.6,1.03
1022,eligible,6.66,1.27
9244,eliminate,3.82,1.75
9547,eliminated,3.38,1.69
,eliminating,3.82,1.75
4161,elite,5.64,2.13
2201,elizabeth,6.14,1.73
7578,elke,4.92,0.95
5434,ella,5.37,1.6
4480,elle,5.56,1.03
6411,ellen,5.16,1.4
5951,elliott,5.26,0.94
6033,ellis,5.24,0.94
8084,else,4.76,0.89
7745,elsewhere,4.86,0.95
2348,elvis,6.08,1.99
8031,em,4.78,1.15
8139,'em,4.74,0.99
704,email,6.88,1.32
1183,e-mail,6.56,1.23
1220,emails,6.54,1.18
,embarrass,2.68,1.3
,embarrassed,2.68,1.3
,embarrasses,2.68,1.3
,embarrassing,2.68,1.3
,embarrassment,2.68,1.3
,embassies,5.4,1.34
5290,embassy,5.4,1.34
1943,embrace,6.22,1.9
,embraced,6.22,1.9
,embracing,6.22,1.9
3897,emerged,5.68,0.94
,emergencies,3.06,1.78
9732,emergency,3.06,1.78
1793,emerging,6.28,0.97
5643,emeritus,5.32,1.65
4597,emily,5.54,1.13
7795,eminem,4.86,1.97
8497,emo,4.58,1.39
3551,emotion,5.76,1.55
8705,emotional,4.42,1.76
2083,emotions,6.18,1.71
5530,emperor,5.35,2.06
3898,emphasis,5.68,1
3304,emphasized,5.82,1.44
5846,empire,5.28,1.83
5351,empirical,5.39,1.48
1645,employ,6.34,1.42
326,employed,7.28,1.36
3640,employee,5.74,1.19
4095,employees,5.64,1.12
3773,employer,5.71,1.72
4687,employers,5.52,1.37
1597,employment,6.36,1.78
9569,emptiness,3.35,1.97
9416,empty,3.56,1.63
7822,en,4.84,1.06
2133,enable,6.16,1.2
,enabling,6.16,1.2
1526,enabled,6.39,1.38
1184,encore,6.56,1.4
6034,encounter,5.24,1.78
4884,encountered,5.48,1.33
685,encourage,6.9,1.68
,encouragement,6.9,1.68
603,encouraged,6.98,1.24
382,encouraging,7.22,1.56
8767,end,4.36,1.74
9225,ended,3.84,1.45
9098,ending,4.02,1.42
,endure,5.32,1.85
,enduring,5.32,1.85
,boundless,5.32,1.85
,ceaseless,5.32,1.85
5644,endless,5.32,1.85
6489,endlessly,5.14,1.69
3641,endorsed,5.74,1.41
3305,endowment,5.82,1.51
9276,ends,3.78,1.49
10020,enemies,2.44,1.47
9930,enemy,2.64,1.32
383,energy,7.22,1.3
9027,enforcement,4.1,1.42
2018,engage,6.2,1.34
2147,engaged,6.16,1.96
3810,engine,5.7,1.23
1750,engineer,6.3,1.18
3144,engineering,5.86,1.48
2553,engineers,6.02,1.13
1794,england,6.28,1.53
6490,englewood,5.14,1.31
1148,english,6.58,1.49
111,enjoy,7.66,1.47
20,enjoyed,8.02,1.53
65,enjoying,7.84,1.5
4280,enormous,5.6,1.51
4994,enough,5.46,1.4
3552,ensemble,5.76,1.22
2247,ensure,6.12,1.36
3227,enter,5.84,1.28
3306,entered,5.82,1.02
3474,entering,5.78,1.02
1903,enterprise,6.24,1.24
3899,enterprises,5.68,1.43
2303,enters,6.1,1.28
129,entertaining,7.62,1.09
80,entertainment,7.76,1.22
203,enthusiasm,7.46,1.13
3071,entire,5.88,1.12
4281,entirely,5.6,1.14
4096,entitled,5.64,1.51
3995,entrance,5.66,0.8
3379,entre,5.8,1.51
3642,entry,5.74,1.08
1968,environment,6.22,1.72
1447,environmental,6.42,1.4
9583,envy,3.33,1.55
5188,enzyme,5.42,1.26
8032,ep,4.78,1.2
1751,epic,6.3,1.18
10174,epidemic,1.72,0.99
,epidemics,1.72,0.99
7254,episcopal,4.98,1.36
3553,episode,5.76,1.3
4688,episodes,5.52,1.13
7343,eq,4.96,1.09
2425,equal,6.06,1.95
513,equality,7.08,1.83
1492,equally,6.4,1.55
4995,equation,5.46,1.5
4068,equations,5.65,1.28
1675,equilibrium,6.33,1.52
3145,equipment,5.86,0.97
2928,equity,5.92,1.68
4784,equivalent,5.5,1.3
8561,er,4.54,1.11
4481,era,5.56,1.03
9028,erase,4.1,1.47
9256,erased,3.82,1.51
,erases,3.82,1.51
,erasing,3.82,1.51
2019,erected,6.2,1.48
7606,eres,4.9,0.86
6774,eric,5.08,0.9
8678,errands,4.44,1.54
9522,erroneous,3.42,1.2
9163,erroneously,3.94,1.52
9948,error,2.6,0.81
,errorless,6.98,1.71
9832,errors,2.86,0.97
7963,es,4.8,0.78
7607,esa,4.9,1.05
4097,escape,5.64,2.08
3228,escaped,5.84,1.94
,escapes,5.64,2.08
,escaping,5.64,2.08
,escapingly,5.64,2.08
8085,ese,4.76,1.06
7897,eso,4.82,1.08
5291,esp,5.4,1.14
2148,especially,6.16,1.02
4199,espn,5.62,1.88
8033,essa,4.78,0.89
8086,essay,4.76,1.66
8631,essays,4.48,1.79
7060,esse,5.02,1.22
2304,essence,6.1,1.15
2554,essential,6.02,0.89
3554,essentially,5.76,0.96
7823,est,4.84,1.06
6962,esta,5.04,0.78
2994,establish,5.9,1.52
2084,established,6.18,1.17
3380,establishing,5.8,1.4
5462,establishment,5.36,1.29
5847,estar,5.28,1.33
8204,estas,4.72,1.03
2020,estate,6.2,1.67
3643,estates,5.74,1.41
7255,este,4.98,0.91
829,esteemed,6.78,1.4
5848,esther,5.28,1.23
5292,estimate,5.4,0.99
4373,estimated,5.58,1.03
5645,estimates,5.32,1.11
7344,esto,4.96,0.92
7061,estou,5.02,0.82
6491,estoy,5.14,0.81
6678,et,5.1,0.79
6318,etc,5.18,0.98
401,eternal,7.2,1.53
627,eternally,6.96,1.71
694,eternity,6.9,1.96
,ethic,6.52,1.36
2021,ethical,6.2,1.37
1259,ethics,6.52,1.36
3229,ethnic,5.84,1.33
5849,etsy,5.28,1.41
7964,eu,4.8,1.07
8385,euch,4.64,1.19
6775,eugene,5.08,1.37
3720,euro,5.72,1.71
1493,europe,6.4,1.76
2845,european,5.94,1.17
4689,eva,5.52,1.09
4482,evaluate,5.56,1.28
5646,evaluation,5.32,1.8
4282,evan,5.6,1.18
6035,evans,5.24,1.1
4200,eve,5.62,1.68
5095,evelyn,5.44,1.03
4374,even,5.58,1.2
1448,evening,6.42,1.21
2248,event,6.12,1.65
1846,events,6.26,1.47
5850,eventually,5.28,1.57
5189,ever,5.42,1.01
526,everlasting,7.06,1.39
4098,every,5.64,1.01
4598,every1,5.54,1.46
2022,everybody,6.2,1.21
3644,everyday,5.74,1.34
2249,everyone,6.12,1.22
2768,everyone's,5.96,1.26
2769,everything,5.96,1.29
4885,everytime,5.48,1.47
3555,everywhere,5.76,0.94
4099,evidence,5.64,1.26
3962,evident,5.67,1.32
3072,evidently,5.88,1.35
10135,evil,1.9,1.28
1969,evolution,6.22,1.61
8679,ew,4.44,1.11
8958,ex,4.18,1.3
2489,exact,6.04,1.23
2614,exactly,6,1.71
8959,exam,4.18,1.56
7898,examination,4.82,1.52
6381,examine,5.16,1.39
4056,examined,5.65,1.45
4375,example,5.58,1.07
3278,examples,5.84,1.46
9277,exams,3.78,1.66
,excavate,5.26,1.07
,excavated,5.26,1.07
,excavates,5.26,1.07
,excavating,5.26,1.07
2825,exceed,5.96,1.52
,excellence,8.18,1.1
7,excellent,8.18,1.1
8250,except,4.7,1.4
4886,exception,5.48,1.15
,exceptional,8.18,1.1
,exceptionally,8.18,1.1
4690,exceptions,5.52,1.55
6128,excess,5.22,1.67
,excesses,5.22,1.67
8251,excessive,4.7,1.76
